month,supply,change
2023-01,45000,0
2023-02,43000,-4
2023-03,41000,-5
2023-04,33000,-20
2023-05,30000,-9
2023-06,29000,-3
2023-07,28000,-3
2023-08,26000,-7
2023-09,26000,0
2023-10,25000,-4
2023-11,24000,-4
2023-12,24000,0
2024-01,25000,4
2024-02,26000,4
2024-03,28000,8
2024-04,32000,14
2024-07,33471,5
2024-08,34747.7,4
2024-09,36242.04,4
2024-10,35044.23,-3
2024-11,39807.12,14
2024-12,43803.32,10
2025-01,53108.11,21
2025-02,55583.5,5
2025-03,60187.9,8
2025-04,62142.67,3
2025-05,61040.43,-2
2025-06,61672.47,1
2025-07,64003.34,4
2025-08,71538.64,12
2025-09,73522.65,3
2025-10,75949.99,3
2025-11,76553.02,1
2025-12,76009.51,-1
2026-01,70041.73,-8
2026-02,75248.92,7
2026-03,77423.83,3
2026-04,77266.34,0
2026-05,75838.47,-2
2026-06,73692.01,-3
2026-07,71943.88,-2
2026-08,72128.15,0
